"[5545198.8549, 7422033.1278]",174.3318364192
"[5545199.4355, 7422032.2955]",174.503928724
"[5545199.9918, 7422031.4611]",174.5930672
"[5545201.1112, 7422030.5818]",175.69687980959998
"[5545201.5977, 7422029.7738]",175.823856724
"[5545202.0068, 7422028.9609]",175.78315672399998
"[5545202.4043, 7422028.1913]",175.9084748952
"[5545202.7727, 7422027.4757]",176.0350465904
"[5545203.115, 7422026.8228]",176.2016312
"[5545203.4433, 7422026.2377]",176.11058502880002
"[5545203.8068, 7422025.6895]",175.9569955048
"[5545204.2702, 7422025.1372]",175.9935312
"[5545204.6474, 7422024.596]",175.8508158096
"[5545205.1635, 7422024.0092]",175.6284672
"[5545205.6009, 7422023.4414]",175.5388235048
"[5545206.0349, 7422022.8671]",175.6872235048
"[5545206.4308, 7422022.2862]",175.7405955048
"[5545206.5867, 7422021.7426]",176.0881595048
"[5545206.6493, 7422021.0975]",176.1273004192
"[5545206.5515, 7422020.5291]",176.14207489519998
"[5545206.338, 7422019.8194]",176.0628850288
"[5545206.0858, 7422019.1901]",176.2198388952
"[5545205.6513, 7422018.4687]",176.5694081144
"[5545205.1914, 7422017.8445]",176.602728724
"[5545204.5573, 7422017.1155]",176.7047158096
"[5545203.9257, 7422016.4614]",177.2955672
"[5545203.224, 7422015.657]",177.69841089520003
"[5545202.5541, 7422014.9302]",177.8076441144
"[5545201.9165, 7422014.0975]",178.3297388952
"[5545201.3566, 7422013.3366]",178.3109923048
"[5545200.906, 7422012.4196]",190.3602716952
"[5545200.4581, 7422011.6119]",190.7383283048
"[5545200.0369, 7422010.6794]",190.9206603048
"[5545199.6005, 7422009.8522]",190.8932436952
"[5545199.1447, 7422008.9163]",195.440904
"[5545198.7328, 7422008.0479]",195.449116
"[5545198.2793, 7422007.0794]",195.395432
"[5545197.869, 7422006.1832]",195.33061230479998
"[5545197.4006, 7422005.2096]",195.24912
"[5545197.0028, 7422004.2719]",195.2225603048
"[5545196.478, 7422003.2723]",195.124216
"[5545196.0256, 7422002.3362]",195.124716
"[5545195.441, 7422001.356]",195.0609443048
"[5545194.8967, 7422000.445]",194.922884
"[5545194.2866, 7421999.5182]",194.89035199999998
"[5545193.6723, 7421998.6553]",194.8706283048
"[5545193.0853, 7421997.7854]",194.87068000000002
"[5545192.4282, 7421997.0247]",194.870984
"[5545191.8476, 7421996.3169]",194.8911123048
"[5545191.1214, 7421995.6308]",194.8756716952
"[5545190.4789, 7421995.032]",194.96518
"[5545189.7274, 7421994.3699]",194.9463763048
"[5545189.1313, 7421993.7559]",194.9598283048
"[5545188.4521, 7421993.0752]",194.9099876952
"[5545187.9038, 7421992.4131]",194.908296
"[5545187.2351, 7421991.6527]",194.8527283048
"[5545186.6585, 7421990.9136]",194.84175199999999
"[5545185.9656, 7421990.1285]",194.7354923048
"[5545185.3961, 7421989.327]",194.73487169519998
"[5545184.756, 7421988.5111]",194.637268
"[5545184.1997, 7421987.6363]",194.521852
"[5545183.6994, 7421986.7445]",194.345664
"[5545183.2369, 7421985.8165]",194.107268
"[5545182.7364, 7421984.9161]",193.611404
"[5545182.0722, 7421984.0725]",193.127568
"[5545181.5115, 7421983.1809]",192.619448
"[5545180.828, 7421982.315]",192.319348
"[5545180.2438, 7421981.4277]",192.06122430480002
"[5545179.5123, 7421980.6067]",191.59608
"[5545178.8789, 7421979.7683]",191.107696
"[5545178.0997, 7421978.9665]",190.25065260960002
